city,country,date,max_temp,cloudiness,humidity,wind_speed,lat,lng
Muroto-misakicho,JP,1600396135,82.4,75,88,8.05,33.28,134.15
Murygino,RU,1600396194,46.62,100,87,7.2,58.74,49.46
Mwandiga,TZ,1600396225,69.8,5,77,5.57,-4.83,29.66
Mweka,CD,1600396231,69.28,86,96,2.19,-4.85,21.57
Måløy,NO,1600396220,55.99,100,100,13.87,61.94,5.11
Mīnāb,IR,1600396168,73.4,0,46,2.24,27.15,57.08
Nagayo,JP,1600396140,75.2,75,78,14.99,32.82,129.89
Nakonde,ZM,1600396150,57.38,84,72,4.34,-9.34,32.74
Namatanai,PG,1600396149,82.71,100,77,7.0,-3.67,152.43
Nampula,MZ,1600395916,64.33,33,96,3.47,-15.12,39.27
Nanjing,CN,1600396150,68.0,40,82,2.24,32.06,118.78
Nanortalik,GL,1600396169,42.3,100,90,12.64,60.14,-45.24
Nara,JP,1600396162,89.01,75,66,12.75,34.69,135.8
